Date,Open,High,Low,Close,Volume
5-Jul-16,52565.20,52565.20,51510.43,51842.27,-
4-Jul-16,52241.12,52917.78,52241.12,52568.66,-
1-Jul-16,51540.21,52346.07,51411.23,52233.04,-
30-Jun-16,51001.38,51619.06,50585.06,51526.93,-
29-Jun-16,50009.45,51229.09,50009.45,51001.91,-
28-Jun-16,49252.12,50301.43,49252.12,50006.56,-
27-Jun-16,50105.81,50161.61,48954.41,49245.53,-
24-Jun-16,51561.05,51561.05,49544.32,50105.26,-
23-Jun-16,50160.76,51672.63,50160.76,51559.82,-
22-Jun-16,50834.72,51238.56,50060.39,50156.30,-
21-Jun-16,50326.04,50870.42,49677.76,50837.80,-
20-Jun-16,49539.40,50781.55,49539.40,50329.36,-
17-Jun-16,49409.25,50190.52,49404.79,49533.84,-
16-Jun-16,48900.91,49411.62,48066.67,49411.62,-
15-Jun-16,48649.41,49414.95,48323.67,48914.74,-
14-Jun-16,49662.11,49894.40,48216.36,48648.29,-
13-Jun-16,49418.63,49763.54,48803.56,49660.79,-
10-Jun-16,51117.44,51117.44,49420.98,49422.16,-
9-Jun-16,51632.81,51632.81,50831.67,51118.46,-
8-Jun-16,50490.11,51811.58,50490.11,51629.29,-
7-Jun-16,50431.68,50641.12,50004.67,50487.86,-
6-Jun-16,50627.24,50923.54,50097.27,50431.80,-
3-Jun-16,49888.31,50634.36,49888.31,50619.50,-
2-Jun-16,49007.81,49905.57,48780.54,49887.24,-
1-Jun-16,48468.19,49056.89,48199.87,49012.65,-
31-May-16,48963.18,49269.22,48291.51,48471.71,-
30-May-16,49051.17,49203.06,48799.22,48964.34,-
27-May-16,49481.32,49805.14,48868.56,49051.49,-
25-May-16,49346.50,50356.95,49346.50,49482.86,-
24-May-16,49330.42,50002.07,49152.88,49345.19,-
23-May-16,49709.17,49709.17,48694.73,49330.42,-
20-May-16,50132.65,50821.74,49722.75,49722.75,-
19-May-16,50556.06,50556.06,49588.26,50132.53,-
18-May-16,50836.08,51373.21,50300.63,50561.70,-
17-May-16,51795.46,51946.10,50689.36,50839.44,-
16-May-16,51803.33,52305.46,51584.51,51802.92,-
13-May-16,53236.48,53249.73,51365.57,51804.31,-
12-May-16,52765.27,53703.13,52424.04,53241.31,-
11-May-16,53072.40,53976.29,52735.94,52764.46,-
10-May-16,50994.01,53070.91,50994.01,53070.91,-
9-May-16,51716.51,51716.51,49907.77,50990.06,-
6-May-16,51670.57,52158.95,51204.04,51717.83,-
5-May-16,52568.61,53070.71,51310.97,51671.04,-
4-May-16,52253.14,52672.44,51930.77,52552.80,-
3-May-16,53557.14,53557.14,52260.19,52260.19,-
2-May-16,53909.53,54112.79,53265.28,53561.53,-
29-Apr-16,54316.76,54705.14,53591.60,53910.51,-
28-Apr-16,54475.28,54977.70,53963.10,54311.97,-
27-Apr-16,53094.22,54559.56,53094.22,54477.78,-
26-Apr-16,51867.04,53107.76,51838.25,53082.50,-
25-Apr-16,52911.07,52948.66,51748.28,51861.71,-
22-Apr-16,53630.07,53630.07,52629.48,52907.88,-
20-Apr-16,53710.68,53857.36,53149.00,53630.93,-
19-Apr-16,52894.08,54054.03,52894.08,53710.05,-
18-Apr-16,53228.74,53478.75,52305.37,52894.08,-
15-Apr-16,52414.24,53390.42,52414.24,53227.74,-
14-Apr-16,53150.34,53699.35,52242.23,52411.02,-
13-Apr-16,52009.52,53843.74,52009.52,53149.84,-
12-Apr-16,50166.46,52327.21,50166.46,52001.86,-
11-Apr-16,50303.33,51088.89,50078.23,50165.47,-
8-Apr-16,48517.02,50485.98,48517.02,50292.93,-
7-Apr-16,48099.11,48940.48,48099.11,48513.10,-
6-Apr-16,49053.82,49053.82,47873.65,48096.24,-
5-Apr-16,48778.04,49629.43,48148.75,49053.62,-
4-Apr-16,50556.18,50556.18,48600.45,48779.99,-
1-Apr-16,50054.41,50767.88,49360.87,50561.53,-
31-Mar-16,51248.29,51248.29,49642.15,50055.27,-
30-Mar-16,51154.99,52261.94,50899.85,51248.92,-
29-Mar-16,50839.28,51764.75,50387.33,51154.99,-
28-Mar-16,49686.52,51149.11,49686.52,50838.23,-
24-Mar-16,49686.04,49686.04,48777.80,49657.39,-
23-Mar-16,51004.57,51004.57,49490.73,49690.05,-
22-Mar-16,51170.48,51215.15,50811.59,51010.19,-
21-Mar-16,50815.53,51370.19,50764.53,51171.55,-
18-Mar-16,50915.46,51307.69,50202.02,50814.66,-
17-Mar-16,47770.46,51268.15,47770.46,50913.79,-
16-Mar-16,47129.74,47813.79,46520.81,47763.43,-
15-Mar-16,48866.35,48866.35,46684.42,47130.02,-
14-Mar-16,49639.02,50165.85,48756.51,48867.33,-
11-Mar-16,49573.88,50038.37,49156.02,49638.68,-
10-Mar-16,48666.75,49974.19,47922.39,49571.11,-
9-Mar-16,49102.41,50000.84,48623.35,48665.09,-
8-Mar-16,49244.43,49913.77,48846.92,49102.14,-
7-Mar-16,49089.16,49639.26,48746.43,49246.10,-
4-Mar-16,47193.67,50023.75,47193.67,49084.87,-
3-Mar-16,44900.39,47374.52,44900.39,47193.39,-
2-Mar-16,44121.93,44982.91,43841.19,44893.48,-
1-Mar-16,42795.17,44181.29,42795.17,44121.79,-
29-Feb-16,41599.44,43052.61,41599.44,42793.86,-
26-Feb-16,41889.06,42495.22,41416.54,41593.08,-
25-Feb-16,42083.56,42326.62,41441.70,41887.90,-
24-Feb-16,42520.70,42520.70,41210.72,42084.56,-
23-Feb-16,43235.10,43601.33,42358.66,42520.94,-
22-Feb-16,41544.38,43345.22,41544.38,43234.85,-
19-Feb-16,41476.90,41827.97,41070.88,41543.40,-
18-Feb-16,41623.94,41697.80,41183.40,41477.63,-
17-Feb-16,40957.61,42436.44,40957.61,41630.82,-
16-Feb-16,40093.26,41206.47,40074.23,40947.70,-
15-Feb-16,39808.41,40671.42,39808.41,40092.89,-
12-Feb-16,39324.24,39900.58,39324.24,39808.05,-
11-Feb-16,40370.02,40370.02,38927.56,39318.30,-
10-Feb-16,40592.09,40592.09,40005.53,40376.58,-
5-Feb-16,40811.80,41248.75,40565.83,40592.09,-
4-Feb-16,39589.17,41444.20,39589.17,40821.74,-
3-Feb-16,38596.53,39725.69,38596.53,39588.82,-
2-Feb-16,40563.78,40563.78,38596.17,38596.17,-
1-Feb-16,40396.51,40570.04,39738.09,40570.04,-
29-Jan-16,38634.71,40405.99,38634.71,40405.99,-
28-Jan-16,38376.37,39099.82,37996.09,38630.19,-
27-Jan-16,37500.79,38765.60,37402.09,38376.37,-
26-Jan-16,38031.22,38031.22,37112.35,37497.48,-
22-Jan-16,37736.93,38443.80,37736.93,38031.22,-
21-Jan-16,37647.04,38079.18,37494.82,37717.11,-
20-Jan-16,38056.03,38056.03,37046.07,37645.48,-
19-Jan-16,37941.23,38856.51,37941.23,38057.01,-
18-Jan-16,38572.28,38633.08,37937.27,37937.27,-
15-Jan-16,39493.86,39493.86,37986.07,38569.13,-
14-Jan-16,38944.20,39501.93,38458.69,39500.11,-
13-Jan-16,39518.40,40050.31,38822.29,38944.44,-
12-Jan-16,39954.86,40261.31,39425.97,39513.83,-
11-Jan-16,40612.09,40973.62,39924.22,39950.49,-
8-Jan-16,40695.04,41217.80,40463.49,40612.21,-
7-Jan-16,41772.15,41772.15,40694.72,40694.72,-
6-Jan-16,42409.95,42409.95,41589.97,41773.14,-
5-Jan-16,42139.23,42533.62,42137.26,42419.32,-
4-Jan-16,43348.91,43348.91,42125.02,42141.04,-
30-Dec-15,43653.44,43662.46,43217.38,43349.96,-
29-Dec-15,43781.17,44041.53,43523.30,43653.97,-
28-Dec-15,44015.68,44087.01,43709.01,43764.34,-
23-Dec-15,43478.91,44232.58,43478.91,44014.93,-
22-Dec-15,43208.17,43632.08,43136.97,43469.52,-
21-Dec-15,43912.28,44222.53,43196.16,43199.95,-
18-Dec-15,45248.67,45248.67,43690.31,43910.60,-
17-Dec-15,45016.16,46251.30,45016.16,45261.48,-
16-Dec-15,44867.65,45098.94,44094.84,45015.85,-
15-Dec-15,44748.43,45423.04,44748.43,44872.47,-
14-Dec-15,45257.91,45257.91,44530.72,44747.31,-
11-Dec-15,45629.61,45981.46,45068.43,45262.72,-
10-Dec-15,46084.06,46322.67,45351.06,45630.71,-
9-Dec-15,44444.27,46438.23,44444.27,46108.03,-
8-Dec-15,45223.32,45233.02,44232.00,44443.26,-
7-Dec-15,45361.25,46156.94,45217.39,45222.70,-
4-Dec-15,46384.75,46384.75,45022.70,45360.76,-
3-Dec-15,44923.47,47142.43,44923.47,46393.26,-
2-Dec-15,45046.39,45338.44,44579.30,44914.53,-
1-Dec-15,45121.10,45482.20,44775.35,45046.75,-
30-Nov-15,45871.33,45930.70,45105.89,45120.36,-
27-Nov-15,47144.44,47144.44,45811.69,45872.92,-
26-Nov-15,46867.13,47199.04,46867.13,47145.63,-
25-Nov-15,48269.74,48269.74,46742.27,46866.63,-
24-Nov-15,48142.66,48320.34,47441.65,48284.19,-
23-Nov-15,48138.04,48745.08,47987.58,48150.27,-
19-Nov-15,47437.26,48226.83,47437.26,48138.89,-
18-Nov-15,47241.44,47950.71,47241.44,47435.58,-
17-Nov-15,46847.97,47697.60,46847.97,47247.80,-
16-Nov-15,46518.63,46905.35,46398.64,46846.87,-
13-Nov-15,46883.71,46883.71,46311.23,46517.04,-
12-Nov-15,47065.01,47459.94,46695.80,46883.58,-
11-Nov-15,46207.25,47231.25,46207.25,47065.01,-
10-Nov-15,46195.05,46195.05,45396.88,46178.73,-
9-Nov-15,46914.80,47000.50,46057.43,46194.92,-
6-Nov-15,48046.47,48046.47,46397.11,46918.52,-
5-Nov-15,47711.77,48061.34,47430.37,48046.76,-
4-Nov-15,48058.83,49054.38,47440.69,47710.10,-
3-Nov-15,45868.81,48053.67,45866.30,48053.67,-
30-Oct-15,45628.35,45975.26,45400.69,45868.82,-
29-Oct-15,46740.16,46740.16,45628.35,45628.35,-
28-Oct-15,47037.92,47441.50,46388.14,46740.85,-
27-Oct-15,47204.78,47338.43,46742.45,47042.95,-
26-Oct-15,47606.63,47874.87,47104.57,47209.32,-
23-Oct-15,47774.30,48837.01,47502.27,47596.59,-
22-Oct-15,47026.71,47909.00,47026.71,47772.14,-
21-Oct-15,47076.55,47273.73,46653.85,47025.87,-
20-Oct-15,47446.94,47727.54,46622.87,47076.55,-
19-Oct-15,47242.47,47536.25,46916.77,47447.31,-
16-Oct-15,47161.02,47727.44,46516.85,47236.10,-
15-Oct-15,46730.26,47187.58,46321.48,47161.15,-
14-Oct-15,47349.43,47714.78,46700.73,46710.44,-
13-Oct-15,49339.14,49339.14,47134.90,47362.64,-
9-Oct-15,49105.12,49752.04,48698.44,49338.41,-
8-Oct-15,48915.37,49247.28,48657.64,49106.56,-
7-Oct-15,47735.32,49290.26,47714.69,48914.32,-
6-Oct-15,47598.49,48091.62,47388.54,47735.11,-
5-Oct-15,47033.28,48081.44,47018.61,47598.07,-
2-Oct-15,45313.39,47033.46,44973.40,47033.46,-
1-Oct-15,45064.26,45547.33,44788.93,45313.27,-
30-Sep-15,44131.76,45294.37,44131.76,45059.34,-
29-Sep-15,43956.46,44530.71,43956.04,44131.82,-
28-Sep-15,44831.62,44831.62,43766.61,43956.63,-
25-Sep-15,45300.34,45968.66,44697.01,44831.46,-
24-Sep-15,45339.70,45571.86,44182.73,45291.97,-
23-Sep-15,46262.51,46480.08,45340.11,45340.11,-
22-Sep-15,46572.04,46585.35,45276.23,46264.61,-
21-Sep-15,47263.27,47390.54,46424.60,46590.20,-
18-Sep-15,48549.50,48549.50,46927.83,47264.08,-
17-Sep-15,48552.71,49395.62,48081.62,48551.08,-
16-Sep-15,47364.07,48680.97,47364.07,48553.10,-
15-Sep-15,47281.03,47688.88,46745.85,47364.07,-
14-Sep-15,46399.98,47385.76,46217.71,47281.52,-
11-Sep-15,46508.91,46558.06,46175.88,46400.51,-
10-Sep-15,46655.83,46819.09,45592.08,46503.99,-
9-Sep-15,46762.07,47839.78,46614.14,46657.10,-
8-Sep-15,46500.90,47243.23,46496.79,46762.07,-
4-Sep-15,47365.51,47377.23,46320.43,46497.72,-
3-Sep-15,46467.97,47532.37,46279.41,47365.87,-
2-Sep-15,45484.22,46473.75,45445.07,46463.96,-
1-Sep-15,46625.08,46625.08,45278.27,45477.06,-
31-Aug-15,47151.43,47151.43,45569.94,46625.52,-
28-Aug-15,47696.83,47872.39,46847.37,47153.87,-
27-Aug-15,46038.08,47996.65,46038.08,47715.27,-
26-Aug-15,44545.67,46039.43,44540.18,46038.08,-
25-Aug-15,44337.54,45587.89,44337.54,44544.85,-
24-Aug-15,45714.92,45714.92,42749.23,44336.47,-
21-Aug-15,46649.35,46649.35,45676.76,45719.64,-
20-Aug-15,46587.51,46780.81,46029.56,46649.23,-
19-Aug-15,47450.58,47450.58,45977.38,46588.39,-
18-Aug-15,47220.49,48084.31,46675.92,47450.58,-
17-Aug-15,47508.83,47787.95,47217.43,47217.43,-
14-Aug-15,48010.09,48186.03,47508.41,47508.41,-
13-Aug-15,48389.64,48605.89,47721.75,48009.57,-
12-Aug-15,49063.87,49063.87,48027.56,48388.05,-
11-Aug-15,49339.86,49339.86,48305.66,49072.34,-
10-Aug-15,48578.05,49511.63,48578.05,49353.00,-
7-Aug-15,50013.41,50013.41,48511.68,48577.32,-
6-Aug-15,50279.64,50534.17,49623.61,50011.32,-
5-Aug-15,50066.85,50852.53,50066.85,50287.27,-
4-Aug-15,50137.62,50574.01,49826.74,50058.49,-
3-Aug-15,50866.92,50866.92,50053.82,50138.05,-
31-Jul-15,49897.40,50894.51,49892.29,50864.77,-
30-Jul-15,50245.14,50644.62,49612.04,49897.40,-
29-Jul-15,49601.91,50332.57,49421.69,50245.15,-
28-Jul-15,48740.26,49871.17,48740.26,49601.60,-
27-Jul-15,49245.85,49298.39,48639.95,48735.54,-
24-Jul-15,49804.29,49831.46,48624.14,49245.85,-
23-Jul-15,50915.79,51063.48,49668.23,49806.63,-
22-Jul-15,51473.92,51473.92,50592.47,50915.79,-
21-Jul-15,51603.33,51997.69,51244.05,51474.28,-
20-Jul-15,52341.42,52423.68,51525.45,51600.08,-
17-Jul-15,53069.75,53310.20,52221.14,52341.80,-
16-Jul-15,52902.28,53416.98,52713.87,53069.75,-
15-Jul-15,53239.18,53333.82,52790.46,52902.28,-
14-Jul-15,53119.47,53415.87,52652.75,53239.18,-
13-Jul-15,52590.72,53163.57,52590.72,53119.47,-
10-Jul-15,51782.26,52785.52,51782.26,52590.72,-
8-Jul-15,52343.39,52467.52,51574.12,51781.75,-
